KATALOG RONGGOLAWE;;;;;;;;;;;;
;;;;;;;;;;;;
HARI;:  JUM'AT, 31 MEI 2024;;;;;;;;;;;
;;;;;;;;;;;;
NO.;NAMA BARANG;MASUK;KET;KELUAR; HARGA JUAL ; HARGA JUAL KESELURUHAN ;;;;;;
115;SELANG TRILIUN SFLEX 5\8;50;METER;2; 12.000 ; 24.000 ;;;;;;
116;SELANG TUKANG 1\4;100;METER;; 4.000 ; - ;;;;;;
117;SEMPROTAN AIR JUMBO 6 SPEED;5;PCS;; 22.500 ; - ;;;;;;
118;SEMPROTAN AIR LURUS KUNING;12;PCS;; 21.500 ; - ;;;;;;
119;SIKU RAK 155X220;24;PCS;; 9.000 ; - ;;;;;;
120;SKRUB GIPSUM 3\4X6 (2CM);5;DUS;; 35.000 ; - ;;;;;;
121;SKRUB GYPSUM 1X4 3 CM;3;DUS;; 53.550 ; - ;;;;;;
122;SKRUB GYPSUM 1X6 2.5 CM;5;DUS;; 41.500 ; - ;;;;;;
123;SKRUB GYPSUM 1X6 2.5 CM;3;DUS;; 47.250 ; - ;;;;;;
124;"SOK POMPA 3\4X1""";25;PCS;; 4.500 ; - ;;;;;;
125;STOP KONTAK L4;12;PCS;2; 20.000 ; 40.000 ;;;;;;
126;STOP KONTAK TEMOEL ENGKEL;20;PCS;; 15.000 ; - ;;;;;;
127;TALI TAMBANG 4 MM (1,8) KG;1;ROL;; 95.000 ; - ;;;;;;
128;TALI TAMBANG 6 MM (3,8) KG;1;ROL;; 190.000 ; - ;;;;;;
129;TALI TAMBANG 8 MM (6,8) KG;1;ROL;; 340.000 ; - ;;;;;;
130;TARIKAN PINTU 4 IN;24;PCS;; 3.000 ; - ;;;;;;
131;TARIKAN PINTU 5 IN;24;PCS;; 4.000 ; - ;;;;;;
132;TC 3;10;PCS;; 8.000 ; - ;;;;;;
133;TC 4;20;PCS;; 9.000 ; - ;;;;;;
134;TC 5;20;PCS;; 12.000 ; - ;;;;;;
135;TC 6;5;PCS;; 13.500 ; - ;;;;;;
136;TDD T DRAR DALAM 1\2;14;pcs;; 19.000 ; - ;;;;;;
137;TDD T DRAR DALAM 3\4;10;pcs;; 30.000 ; - ;;;;;;
138;TEE 1\2;150;PCS;; 3.500 ; - ;;;;;;
139;"TEE 3""";20;PCS;; 26.000 ; - ;;;;;;
140;THINNER AVIA A;6;500 CC;; 26.000 ; - ;;;;;;
141;THINNER AVIA A LITER;6;LITER;; 41.500 ; - ;;;;;;
142;WOOD ECO PLITUR 103;2;KG;; 110.000 ; - ;;;;;;
143;WOOD ECO PLITUR 105;2;KG;; 110.000 ; - ;;;;;;
144;WOOD ECO PLITUR 107;2;KG;; 110.000 ; - ;;;;;;
;;;;;; - ;;;;;;
;;;;;; - ;;;;;;
;;;;;; 1.498.500 ;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
